date,instance_request_count,cpu_request,mem_request
2000/1/1 0:00,3169.166667,441297.9167,1292.073833
2000/1/1 0:01,3051.716667,414202.25,1409.087167
2000/1/1 0:02,2849.766667,394859.75,1295.0605
2000/1/1 0:03,2504.483333,359994.5,1250.953667
2000/1/1 0:04,2198.716667,339796.6667,974.2513333
2000/1/1 0:05,2534.883333,354289.3333,1040.984167
2000/1/1 0:06,2950.15,397351.0833,1321.710333
2000/1/1 0:07,6065.35,524202.8333,2507.435333
2000/1/1 0:08,11022.31667,766257.6667,3206.791333
2000/1/1 0:09,4353.666667,452369.3333,1571.730667
2000/1/1 0:10,5333.4,458454.5,2127.984
2000/1/1 0:11,4413.066667,281772.3333,1693.4005
2000/1/1 0:12,21554.18333,1948035.333,8680.162667
2000/1/1 0:13,21578.06667,1993641.5,8423.295333
2000/1/1 0:14,27745.71667,2361375.25,11589.40533
2000/1/1 0:15,32600.8,2863821.75,14120.53517
2000/1/1 0:16,23033.55,2096602.75,9516.484833
2000/1/1 0:17,22119.7,1953093.25,9083.548833
2000/1/1 0:18,14106.51667,998047.1667,6410.480667
2000/1/1 0:19,14196.96667,830079.5,7256.3635
2000/1/1 0:20,21139.1,1320373.417,11271.19717
2000/1/1 0:21,16661.81667,1087912.5,8867.02
2000/1/1 0:22,14523.23333,979783,7634.235167
2000/1/1 0:23,32969.88333,1938771.75,15045.8415
2000/1/1 0:24,32739.95,1913735.167,14932.9595
2000/1/1 0:25,32750.73333,1983859.167,14982.42333
2000/1/1 0:26,31491.81667,1860344.667,14310.61083
2000/1/1 0:27,29280.1,1683379.333,13147.81
2000/1/1 0:28,26809.36667,1471530.167,11892.43567
2000/1/1 0:29,25398.53333,1339051.083,11151.63583
2000/1/1 0:30,24565.15,1299114.667,10658.44933
2000/1/1 0:31,23493.41667,1243660.75,10084.7725
2000/1/1 0:32,23040.41667,1214614.5,9824.433833
2000/1/1 0:33,23049.71667,1212762.917,9854.800333
2000/1/1 0:34,30556.65,1996445.167,12385.01933
2000/1/1 0:35,23037.95,1270077,10087.80983
2000/1/1 0:36,23478.73333,1300214.25,10289.27383
2000/1/1 0:37,25188.11667,1374280,11108.58483
2000/1/1 0:38,24396.73333,1318984.917,10763.46517
2000/1/1 0:39,22947.88333,1237644,9481.987
2000/1/1 0:40,33907.58333,2385403.917,13760.888
2000/1/1 0:41,32163.06667,2235060.333,12961.39467
2000/1/1 0:42,23624.58333,1325326.5,9854.686667
2000/1/1 0:43,22029.11667,1187516,9079.657833
2000/1/1 0:44,22678.66667,1241997.333,9391.811333
2000/1/1 0:45,24146.7,1310429.167,10033.92667
2000/1/1 0:46,24396.8,1288348.333,10049.09867
2000/1/1 0:47,24181.53333,1276494.25,9935.207833
2000/1/1 0:48,23426.51667,1231386,9861.872333
2000/1/1 0:49,36995.7,1871898,18008.485
2000/1/1 0:50,37730.51667,1909681,18363.3535
2000/1/1 0:51,36005.5,1844035.5,17331.3135
2000/1/1 0:52,23243.01667,1243301,9755.186667
2000/1/1 0:53,24261.43333,1344708.083,10220.22833
2000/1/1 0:54,22979.35,1241306.583,9570.583167
2000/1/1 0:55,22045.43333,1123853.833,9335.705833
2000/1/1 0:56,6074.816667,350048.8333,3052.127333
2000/1/1 0:57,13863.41667,1042384.75,5903.63
2000/1/1 0:58,13066.53333,993197.1667,5703.213667
2000/1/1 0:59,6365.75,348900.3333,3392.6255
2000/1/1 1:00,26588.3,2343424,11980.24267
2000/1/1 1:01,25395.8,2254424.167,11354.0225
2000/1/1 1:02,19045.86667,1629818.75,9353.631167
2000/1/1 1:03,17922.78333,1573148.5,8811.19
2000/1/1 1:04,11127.76667,828076.1667,5707.383167
2000/1/1 1:05,6626.05,463570.1667,3475.981667
2000/1/1 1:06,4955.783333,336077,2550.160667
2000/1/1 1:07,5711.833333,387911.6667,2916.510667
2000/1/1 1:08,5309.15,350951.0833,2686.078
2000/1/1 1:09,5434.05,347189.0833,2691.487167
2000/1/1 1:10,9983.716667,821226,4806.332
2000/1/1 1:11,11306.3,838735.9167,5062.2975
2000/1/1 1:12,4924.966667,302851.5833,2040.671833
2000/1/1 1:13,4141.233333,216343.0833,1811.343667
2000/1/1 1:14,13603.75,1107883.167,5075.469833
2000/1/1 1:15,95251.55,9148390.083,29996.59333
2000/1/1 1:16,102051.1667,9468695.417,34732.381
2000/1/1 1:17,101907.75,9455102.5,34631.05933
2000/1/1 1:18,106327.8333,9678124.833,38073.442
2000/1/1 1:19,105594.8,9639299.333,37676.50817
2000/1/1 1:20,103256.95,9454889.667,36930.15133
2000/1/1 1:21,18268.95,989351,11512.515
2000/1/1 1:22,16971.4,943231.1667,10931.97683
2000/1/1 1:23,16327.13333,923756.6667,10526.595
2000/1/1 1:24,17362.36667,950801.5,11106.306
2000/1/1 1:25,17893.66667,979337.9167,11301.86017
2000/1/1 1:26,17390.63333,950557.0833,11121.32717
2000/1/1 1:27,18502.7,1065745.333,11827.99917
2000/1/1 1:28,17234.5,979116.5833,11191.52117
2000/1/1 1:29,32724.68333,2533473.833,15606.64083
2000/1/1 1:30,43267,3552142.75,21813.39083
2000/1/1 1:31,34163.51667,2256085.75,20396.61517
2000/1/1 1:32,47478.61667,3043580.5,28822.35817
2000/1/1 1:33,44639.38333,2815447.833,27982.82067
2000/1/1 1:34,36209.75,2327334.417,22812.4675
2000/1/1 1:35,32129.53333,2113285.667,20208.373
2000/1/1 1:36,42445.58333,3149102.417,23284.646
2000/1/1 1:37,43248.16667,3238237.5,23649.54167
2000/1/1 1:38,54371.11667,3764644.917,29025.20233
2000/1/1 1:39,49975.28333,3524665.833,26671.1105
2000/1/1 1:40,48017.53333,3429311.417,25558.74317
2000/1/1 1:41,45388.96667,3314462.75,24167.26117
2000/1/1 1:42,44394.71667,3252505.583,23745.76667
2000/1/1 1:43,44051.26667,3227435.083,23590.45867
2000/1/1 1:44,59337.71667,3991961.5,32567.02183
2000/1/1 1:45,81412.6,6373090.75,43774.34333
2000/1/1 1:46,81893.21667,6405213.25,43872.7895
2000/1/1 1:47,79318.48333,6247235,42537.9235
2000/1/1 1:48,68765.15,5713649.5,35280.61517
2000/1/1 1:49,73375.7,6192173.667,36178.353
2000/1/1 1:50,72303.91667,6121365.083,35703.03533
2000/1/1 1:51,69180.95,5944125,34119.69383
2000/1/1 1:52,63727.1,5422320.833,32604.64117
2000/1/1 1:53,64227.85,5436636.917,32792.778
2000/1/1 1:54,60433.41667,4131034.083,30891.93183
2000/1/1 1:55,59435.61667,3936219.917,30135.53183
2000/1/1 1:56,54729.38333,3733487.5,28024.83517
2000/1/1 1:57,66736.93333,5219857.917,33724.7065
2000/1/1 1:58,60595.58333,4649543.333,31556.99167
2000/1/1 1:59,65604.48333,5175475.333,34235.90567
2000/1/1 2:00,83170.98333,6759698.333,41563.0825
2000/1/1 2:01,83478.25,6780193,42076.54383
2000/1/1 2:02,78402.06667,6313659.917,40005.88783
2000/1/1 2:03,89492.98333,7365087.167,42488.73433
2000/1/1 2:04,84191.95,6832388.333,41627.74833
2000/1/1 2:05,90577.58333,7484508.5,42029.56117
2000/1/1 2:06,82165.78333,6552385.5,40287.09167
2000/1/1 2:07,69014.9,5312377.5,36038.25883
2000/1/1 2:08,66156.2,5112629.833,34743.215
2000/1/1 2:09,63025.53333,4924540.833,32939.22267
2000/1/1 2:10,53251.31667,3915870.833,27525.16883
2000/1/1 2:11,44428.6,3201731,22789.209
2000/1/1 2:12,36664.73333,2407959.333,20428.9705
2000/1/1 2:13,34096.3,2174641.667,18462.74367
2000/1/1 2:14,29450.4,1825551.083,16136.01567
2000/1/1 2:15,25417.76667,1519649.167,13971.388
2000/1/1 2:16,23414.48333,1427258.167,12390.91583
2000/1/1 2:17,23110.23333,1363076.25,12155.51917
2000/1/1 2:18,20174.88333,1148831.583,10769.02017
2000/1/1 2:19,19142.6,1099929.167,10094.2335
2000/1/1 2:20,18027.56667,1021747.417,9508.647
2000/1/1 2:21,18560.9,1105399.083,9579.908333
2000/1/1 2:22,20981.21667,1376547.583,10549.47883
2000/1/1 2:23,18810.08333,1345159.167,9868.048167
2000/1/1 2:24,17050.8,1218430.25,9091.006833
2000/1/1 2:25,18446.75,1162807.5,9825.117833
2000/1/1 2:26,20739.16667,1241356.667,10662.7605
2000/1/1 2:27,83407.33333,4508196.667,40989.58883
2000/1/1 2:28,90981.51667,5141106.667,45065.96983
2000/1/1 2:29,88322.53333,4839615.833,47114.9545
2000/1/1 2:30,82939.86667,4320763.333,41042.53783
2000/1/1 2:31,80296.11667,4124203.333,39866.98183
2000/1/1 2:32,78557.65,4024774.167,39071.46467
2000/1/1 2:33,82946.91667,4221469.667,41440.805
2000/1/1 2:34,86219.5,4523528,47547.10517
2000/1/1 2:35,73855.95,3898453.333,41329.62483
2000/1/1 2:36,36619.05,2284519.667,22283.70017
2000/1/1 2:37,23855.03333,1455621.833,16375.98717
2000/1/1 2:38,18055.88333,1111391.75,13384.17033
2000/1/1 2:39,15690.13333,972334,12175.142
2000/1/1 2:40,14807.96667,954201.6667,8013.61
2000/1/1 2:41,12577.75,730189.0833,6162.320167
2000/1/1 2:42,28122.05,1439576,16923.00917
2000/1/1 2:43,32279.15,1700510.5,18740.979
2000/1/1 2:44,30469.78333,1592784.667,17799.22033
2000/1/1 2:45,27296.5,1392849.167,16378.46117
2000/1/1 2:46,26651.41667,1359300.667,16074.78833
2000/1/1 2:47,25480.96667,1299783,15422.2775
2000/1/1 2:48,15933.73333,823285.8333,8633.237333
2000/1/1 2:49,17145.36667,1131741.167,7624.5195
2000/1/1 2:50,18214.21667,1225216.667,8199.436333
2000/1/1 2:51,11231.23333,647977.1667,5291.831833
2000/1/1 2:52,7663.283333,412875,3438.724833
2000/1/1 2:53,7207.816667,401333.3333,3281.706167
2000/1/1 2:54,11549.43333,618185.3333,6069.659167
2000/1/1 2:55,9675.933333,514074.8333,5016.752
2000/1/1 2:56,11797.88333,720892.0833,5633.189833
2000/1/1 2:57,13377.33333,877615,6223.415667
2000/1/1 2:58,13745.7,878530.3333,6545.2615
2000/1/1 2:59,20740.7,1575039.25,10436.72
2000/1/1 3:00,16442.75,1176203.083,8436.231833
2000/1/1 3:01,17276.96667,1205452.333,8186.314667
2000/1/1 3:02,28322.7,1646090.5,15045.39517
2000/1/1 3:03,26978.56667,1462482.833,14562.64817
2000/1/1 3:04,44854.7,2324557.833,25610.25667
2000/1/1 3:05,44652.88333,2342068.5,25695.717
2000/1/1 3:06,44165.85,2337309.25,25430.62783
2000/1/1 3:07,27588.21667,1452313.917,15591.382
2000/1/1 3:08,27334.06667,1435388.833,15265.03183
2000/1/1 3:09,20443.18333,1091310.5,11378.12717
2000/1/1 3:10,17405.61667,940113.25,9831.9175
2000/1/1 3:11,17583.03333,962313.75,9837.895833
2000/1/1 3:12,17231.41667,936249.6667,9640.150167
2000/1/1 3:13,15997.05,872606.0833,8859.615167
2000/1/1 3:14,15074.1,848230.9167,8008.240833
2000/1/1 3:15,11484.01667,652474.1667,6027.748333
2000/1/1 3:16,11918.7,673112.9167,5996.865167
2000/1/1 3:17,22850.78333,1778160,8147.980167
2000/1/1 3:18,23607.6,1856835.917,8437.872833
2000/1/1 3:19,26888.18333,2240122.5,9483.076833
2000/1/1 3:20,26558.06667,2234780,9352.245333
2000/1/1 3:21,41672.08333,3757343.167,19141.638
