date,a_instance_count,a_cpu_usage,a_mem_usage
2019/5/1 0:00,582935.8222,3509.799733,2732.961213
2019/5/1 0:03,582856.3,3475.201956,2715.364386
2019/5/1 0:06,582890.4889,3456.541733,2704.107211
2019/5/1 0:09,584416.2889,3666.533301,2724.32607
2019/5/1 0:12,585400.3222,3768.263038,2739.191041
2019/5/1 0:15,584219.4556,3984.573691,2796.274285
2019/5/1 0:18,583308.1,3976.124157,2793.216987
2019/5/1 0:21,582511.3889,4026.099173,2821.120943
2019/5/1 0:24,581748.5056,3994.718866,2805.391008
2019/5/1 0:27,581268.8278,3965.751911,2786.42625
2019/5/1 0:30,583768.7556,3880.668133,2758.063705
2019/5/1 0:33,584079.4111,3822.469233,2743.277973
2019/5/1 0:36,584506.0611,3733.451271,2739.443848
2019/5/1 0:39,584164.0889,3601.36678,2729.251921
2019/5/1 0:42,582650.9889,3504.390512,2708.745769
2019/5/1 0:45,582375.2556,3287.851695,2679.247949
2019/5/1 0:48,581492.8167,3226.826618,2657.509041
2019/5/1 0:51,583863.8389,3137.397152,2646.101171
2019/5/1 0:54,584772.8444,3076.835881,2640.199295
2019/5/1 0:57,587666.2056,3016.486247,2616.317279
2019/5/1 1:00,591112.2389,3244.578992,2704.634434
2019/5/1 1:03,594029.5833,3257.348097,2718.951729
2019/5/1 1:06,593044.7389,3277.901573,2752.869924
2019/5/1 1:09,592532.4389,3176.28813,2737.09971
2019/5/1 1:12,594799.5944,3141.720389,2738.761481
2019/5/1 1:15,596334.0667,3273.681891,2773.730813
2019/5/1 1:18,599140.4889,3259.826357,2774.471102
2019/5/1 1:21,599631.6278,3248.173602,2783.872765
2019/5/1 1:24,600706.8556,3276.580893,2792.91231
2019/5/1 1:27,600312.8389,3299.518032,2807.333174
2019/5/1 1:30,600263,3370.138591,2801.437822
2019/5/1 1:33,600589.3222,3385.449652,2794.327218
2019/5/1 1:36,598310.8778,3431.267678,2782.675749
2019/5/1 1:39,596031.4278,3476.522955,2788.135962
2019/5/1 1:42,595460.6222,3494.881082,2789.928118
2019/5/1 1:45,596120.5556,3596.150351,2817.87274
2019/5/1 1:48,596208.1611,3589.088376,2813.449074
2019/5/1 1:51,596253.4722,3577.523843,2798.070096
2019/5/1 1:54,596304.9667,3544.520632,2773.829134
2019/5/1 1:57,595875.3667,3531.226864,2768.998135
2019/5/1 2:00,596803.0278,3535.713935,2759.594386
2019/5/1 2:03,602191.7,3562.259674,2767.56953
2019/5/1 2:06,605851.6722,3623.008007,2793.216402
2019/5/1 2:09,610421.4056,3589.812818,2807.301455
2019/5/1 2:12,615313.9222,3565.949369,2810.84334
2019/5/1 2:15,617987.7167,3493.023524,2789.967757
2019/5/1 2:18,618448.9667,3489.377835,2783.804043
2019/5/1 2:21,617394.8889,3508.245484,2779.169498
2019/5/1 2:24,617640.6278,3440.221492,2740.555343
2019/5/1 2:27,612169.7611,3503.807063,2646.245598
2019/5/1 2:30,611009.4833,3918.723964,2893.22072
2019/5/1 2:33,605429.8833,3793.809411,2850.087987
2019/5/1 2:36,607355.3667,3562.654207,2768.214195
2019/5/1 2:39,616621.8333,3612.383674,2812.993754
2019/5/1 2:42,623558.6889,3646.134535,2849.113291
2019/5/1 2:45,624993.5833,3562.630274,2904.49003
2019/5/1 2:48,624070.0222,3676.520411,2946.769623
2019/5/1 2:51,621832.6889,3969.072676,3055.535409
2019/5/1 2:54,624542.8778,3961.274668,3036.790958
2019/5/1 2:57,626748.6222,4001.575142,3070.03014
2019/5/1 3:00,629862.75,4074.896533,3193.068838
2019/5/1 3:03,629353.3278,4058.163167,3185.469716
2019/5/1 3:06,627390.2278,4020.321489,3156.664443
2019/5/1 3:09,623667.7167,3804.687557,3089.367218
2019/5/1 3:12,624487.2389,3755.707409,3096.029589
2019/5/1 3:15,625481.9111,3803.748502,3065.269061
2019/5/1 3:18,626639.8944,3806.578165,3053.212843
2019/5/1 3:21,621897.0222,3765.995523,3022.491547
2019/5/1 3:24,613092.7278,3517.61371,2850.826027
2019/5/1 3:27,610152.8833,3438.855961,2803.2228
2019/5/1 3:30,610245.5778,3536.616556,2840.63322
2019/5/1 3:33,612452.3,3541.546295,2855.373368
2019/5/1 3:36,616632.3111,3626.374646,2942.73717
2019/5/1 3:39,621773.9056,3682.655807,3008.15615
2019/5/1 3:42,623790.3222,3728.578966,3059.705849
2019/5/1 3:45,626319.1444,3881.49461,3136.724662
2019/5/1 3:48,628020.3722,3853.973894,3135.835633
2019/5/1 3:51,628908.8444,3834.980865,3154.969503
2019/5/1 3:54,628112.9944,3802.556471,3162.561193
2019/5/1 3:57,626868.2611,3778.005242,3170.403571
2019/5/1 4:00,625440.3944,3607.514235,3146.076738
2019/5/1 4:03,623663.0722,3637.007171,3157.782833
2019/5/1 4:06,625697.3333,3759.431009,3207.889609
